,constructorId,driverId,fastestLap,fastestLapSpeed,fastestLapTime,grid,laps,milliseconds,number,points,position,positionOrder,positionText,raceId,rank,resultId,statusId,time
23929,5,26,6,196.019,1:20.092,16,8,0,19,0,0,19,R,41,21,497,3,00:00:00
23930,3,847,6,196.06,1:34.526,17,12,0,63,0,0,20,R,1041,20,24845,4,00:00:00
23931,4,12,6,196.128,1:25.444,10,6,0,6,0,0,20,R,21,18,86,4,00:00:00
23932,4,835,6,196.542,1:19.879,16,16,0,30,0,0,21,R,954,22,23069,31,00:00:00
23933,210,825,6,197.362,1:38.718,20,8,0,20,0,0,19,R,971,19,23437,10,00:00:00
23934,10,16,6,202.327,1:21.189,19,8,0,20,0,0,18,R,33,18,326,27,00:00:00
23935,131,3,6,204.132,1:43.133,1,7,0,6,0,0,18,R,941,14,22833,37,00:00:00
23936,19,17,6,204.584,1:16.739,14,6,0,14,0,0,15,R,97,17,1669,22,00:00:00
23937,5,67,6,204.738,1:42.107,15,11,0,18,0,0,24,R,855,23,21135,36,00:00:00
23938,3,3,6,204.946,1:37.366,3,6,0,10,0,0,21,R,54,15,785,5,00:00:00
23939,7,10,6,206.01,1:34.574,2,57,5551062,10,2,7,7,7,4,2,7620,1,+42.880
23940,18,27,6,206.48,2:01.627,18,42,0,21,0,12,12,12,86,20,1446,12,00:00:00
23941,4,835,6,207.069,1:32.195,19,15,0,30,0,0,19,R,969,20,23397,23,00:00:00
23942,17,45,6,207.809,1:25.457,15,6,0,19,0,0,20,R,93,18,1594,9,00:00:00
23943,210,825,6,209.244,1:39.908,12,8,0,20,0,0,20,R,1005,20,24122,130,00:00:00
23944,6,30,6,210.451,1:34.819,1,56,5467490,1,10,1,1,1,91,2,1535,1,1:31:07.490
23945,3,6,6,212.301,1:29.923,11,17,0,17,0,0,18,R,1,18,7571,3,00:00:00
23946,10,21,6,214.326,1:37.304,12,11,0,21,0,0,20,R,31,20,288,3,00:00:00
23947,19,32,6,217.336,1:27.840,19,56,0,15,0,11,11,11,90,16,1525,12,00:00:00
23948,6,8,6,220.559,1:54.320,6,8,0,7,0,0,17,R,1001,17,24039,23,00:00:00
23949,9,17,6,220.941,1:23.767,11,8,0,15,0,0,22,R,44,19,566,9,00:00:00
23950,1,18,6,223.375,1:52.879,5,15,0,1,0,0,22,R,349,16,20632,4,00:00:00
23951,5,818,6,226.776,1:31.962,16,8,0,17,0,0,24,R,872,24,21543,22,00:00:00
23952,5,843,6,239.685,1:27.009,16,0,0,28,0,0,19,R,1002,19,24061,23,00:00:00
23953,10,16,60,146.564,1:22.039,18,67,0,20,0,0,15,R,23,16,123,4,00:00:00
23954,209,836,60,149.469,1:20.372,20,76,0,94,0,14,14,14,953,15,23040,12,00:00:00
23955,206,10,60,150.985,1:19.637,19,77,0,24,0,14,14,14,865,15,21365,11,00:00:00
23956,4,808,60,157.371,1:16.405,14,73,0,12,0,13,13,13,342,12,20455,23,00:00:00
23957,9,830,60,161.772,1:14.260,20,78,6200124,33,2,9,9,9,994,1,23890,1,+25.317
23958,208,154,60,179.059,1:28.080,10,69,6428563,8,6,7,7,7,936,14,22722,1,+58.578
23959,15,828,60,179.214,1:28.004,17,69,6439115,9,1,10,10,10,936,12,22725,1,+1:09.130
23960,10,807,60,183.235,1:26.073,10,69,6122786,12,0,11,11,11,870,15,21482,1,+57.283
23961,9,817,60,186.407,1:24.608,3,70,6057654,3,15,3,3,3,958,5,23139,1,+27.539
23962,166,10,60,186.664,1:29.776,22,63,0,24,0,18,18,18,341,19,20436,13,00:00:00
23963,3,822,60,188.12,1:29.081,7,66,6145288,77,10,5,5,5,952,8,23009,1,+45.271
23964,131,3,60,188.497,1:23.670,1,70,6032092,6,18,2,2,2,958,2,23138,1,+1.977
23965,10,839,60,191.33,1:22.431,11,69,0,31,2,9,9,9,979,15,23590,11,00:00:00
23966,9,20,60,192.262,1:27.162,2,66,5943301,1,25,1,1,1,845,4,20873,1,1:39:03.301
23967,164,24,60,192.346,1:20.648,21,61,0,23,0,0,21,R,859,23,21228,31,00:00:00
23968,3,22,60,192.862,1:26.891,19,64,0,11,0,17,17,17,845,2,20889,12,00:00:00
23969,10,16,60,193.42,1:35.816,15,60,6132449,15,0,13,13,13,888,13,21900,1,+57.738
